2022-07-15 22:30:53,175 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:54,237 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:54,299 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:55,355 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:55,418 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:56,470 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:56,534 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:57,588 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:57,651 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:58,711 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:58,774 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:59,828 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:59,890 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:00,949 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:01,012 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:02,067 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:02,129 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:03,188 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:03,252 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
